activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
In vehicle,Other,0,False,1526315573,-1.0,16544,0,locked,0,Monday,1052,330,660,19800,2018-05-14 17:32:53+00:00,awake
In vehicle,Other,0,False,1526315646,-1.0,18802,0,locked,0,Monday,1054,330,660,19800,2018-05-14 17:34:06+00:00,awake
In vehicle,Other,0,False,1526315676,-1.0,9678,0,locked,0,Monday,1054,330,660,19800,2018-05-14 17:34:36+00:00,awake
In vehicle,Other,0,False,1526315719,-1.0,9678,0,locked,0,Monday,1055,330,660,19800,2018-05-14 17:35:19+00:00,awake
In vehicle,Other,0,False,1526315749,-1.0,22016,0,locked,0,Monday,1055,330,660,19800,2018-05-14 17:35:49+00:00,awake
In vehicle,Other,0,False,1526315797,-1.0,22016,0,locked,0,Monday,1056,330,660,19800,2018-05-14 17:36:37+00:00,awake
In vehicle,Other,0,False,1526315827,-1.0,18060,0,locked,0,Monday,1057,330,660,19800,2018-05-14 17:37:07+00:00,awake
In vehicle,Other,0,False,1526315874,-1.0,18060,0,locked,0,Monday,1057,330,660,19800,2018-05-14 17:37:54+00:00,awake
Unknown,Other,0,False,1526315904,-1.0,20600,0,locked,0,Monday,1058,330,660,19800,2018-05-14 17:38:24+00:00,awake
In vehicle,Other,0,False,1526315938,-1.0,20600,0,locked,0,Monday,1058,330,660,19800,2018-05-14 17:38:58+00:00,awake
In vehicle,Other,0,False,1526315968,-1.0,19390,0,locked,0,Monday,1059,330,660,19800,2018-05-14 17:39:28+00:00,awake
In vehicle,Other,0,False,1526316012,-1.0,19390,0,locked,0,Monday,1060,330,660,19800,2018-05-14 17:40:12+00:00,awake
Unknown,Other,0,False,1526316042,-1.0,18457,0,locked,0,Monday,1060,330,660,19800,2018-05-14 17:40:42+00:00,awake
In vehicle,Other,0,False,1526316088,-1.0,18457,0,locked,0,Monday,1061,330,660,19800,2018-05-14 17:41:28+00:00,awake
In vehicle,Other,0,False,1526316118,-1.0,17028,0,locked,0,Monday,1061,330,660,19800,2018-05-14 17:41:58+00:00,awake
In vehicle,Other,0,False,1526316161,-1.0,17028,0,locked,0,Monday,1062,330,660,19800,2018-05-14 17:42:41+00:00,awake
In vehicle,Other,0,False,1526316191,-1.0,21952,0,locked,0,Monday,1063,330,660,19800,2018-05-14 17:43:11+00:00,awake
Still,Other,0,False,1526316239,-1.0,21952,0,locked,0,Monday,1063,330,660,19800,2018-05-14 17:43:59+00:00,awake
Unknown,Other,0,False,1526316269,-1.0,12304,0,locked,0,Monday,1064,330,660,19800,2018-05-14 17:44:29+00:00,awake
Unknown,Other,0,False,1526316322,-1.0,12304,0,locked,0,Monday,1065,330,660,19800,2018-05-14 17:45:22+00:00,awake
Still,Other,0,False,1526316352,-1.0,18421,0,locked,0,Monday,1065,330,660,19800,2018-05-14 17:45:52+00:00,awake
Still,Other,0,False,1526316403,-1.0,18421,0,locked,0,Monday,1066,330,660,19800,2018-05-14 17:46:43+00:00,awake
In vehicle,Other,0,False,1526316433,-1.0,20702,0,locked,0,Monday,1067,330,660,19800,2018-05-14 17:47:13+00:00,awake
In vehicle,Other,0,False,1526316485,-1.0,20702,0,locked,0,Monday,1068,330,660,19800,2018-05-14 17:48:05+00:00,awake
In vehicle,Other,0,False,1526316515,-1.0,18805,0,locked,0,Monday,1068,330,660,19800,2018-05-14 17:48:35+00:00,awake
In vehicle,Other,0,False,1526316562,-1.0,18805,0,locked,0,Monday,1069,330,660,19800,2018-05-14 17:49:22+00:00,awake
In vehicle,Other,0,False,1526316592,-1.0,25104,0,locked,0,Monday,1069,330,660,19800,2018-05-14 17:49:52+00:00,awake
In vehicle,Other,0,False,1526316636,-1.0,25104,0,locked,0,Monday,1070,330,660,19800,2018-05-14 17:50:36+00:00,awake
In vehicle,Other,0,False,1526316666,-1.0,20518,0,locked,0,Monday,1071,330,660,19800,2018-05-14 17:51:06+00:00,awake
In vehicle,Other,0,False,1526316696,-1.0,20518,0,locked,0,Monday,1071,330,660,19800,2018-05-14 17:51:36+00:00,awake
In vehicle,Other,0,False,1526316727,-1.0,13089,0,locked,0,Monday,1072,330,660,19800,2018-05-14 17:52:07+00:00,awake
In vehicle,Other,0,False,1526316764,-1.0,13089,0,locked,0,Monday,1072,330,660,19800,2018-05-14 17:52:44+00:00,awake
In vehicle,Other,0,False,1526316794,-1.0,23440,0,locked,0,Monday,1073,330,660,19800,2018-05-14 17:53:14+00:00,awake
In vehicle,Other,0,False,1526316842,-1.0,23440,0,locked,0,Monday,1074,330,660,19800,2018-05-14 17:54:02+00:00,awake
Still,Other,0,False,1526316873,-1.0,21627,0,locked,0,Monday,1074,330,660,19800,2018-05-14 17:54:33+00:00,awake
In vehicle,Other,0,False,1526316908,-1.0,21627,0,locked,0,Monday,1075,330,660,19800,2018-05-14 17:55:08+00:00,awake
In vehicle,Other,0,False,1526316938,-1.0,25080,0,not locked,0,Monday,1075,330,660,19800,2018-05-14 17:55:38+00:00,awake
Still,Other,0,False,1526316999,-1.0,19890,0,not locked,0,Monday,1076,330,660,19800,2018-05-14 17:56:39+00:00,awake
Still,Other,0,False,1526317029,-1.0,19890,0,not locked,0,Monday,1077,330,660,19800,2018-05-14 17:57:09+00:00,awake
In vehicle,Other,0,False,1526317059,-1.0,23068,0,not locked,0,Monday,1077,330,660,19800,2018-05-14 17:57:39+00:00,awake
In vehicle,Other,0,False,1526317089,-1.0,23068,0,not locked,0,Monday,1078,330,660,19800,2018-05-14 17:58:09+00:00,awake
In vehicle,Other,0,False,1526317119,-1.0,26517,0,not locked,0,Monday,1078,330,660,19800,2018-05-14 17:58:39+00:00,awake
Still,Other,0,False,1526317149,-1.0,26517,0,not locked,0,Monday,1079,330,660,19800,2018-05-14 17:59:09+00:00,awake
In vehicle,Other,0,False,1526317209,-1.0,23887,0,not locked,0,Monday,1080,330,660,19800,2018-05-14 18:00:09+00:00,awake
Unknown,Other,0,False,1526317239,-1.0,19120,0,not locked,0,Monday,1080,330,660,19800,2018-05-14 18:00:39+00:00,awake
Still,Other,0,False,1526317269,-1.0,19120,0,not locked,0,Monday,1081,330,660,19800,2018-05-14 18:01:09+00:00,awake
Still,Other,0,False,1526317299,-1.0,20343,0,not locked,0,Monday,1081,330,660,19800,2018-05-14 18:01:39+00:00,awake
In vehicle,Other,0,False,1526317329,-1.0,20343,0,not locked,0,Monday,1082,330,660,19800,2018-05-14 18:02:09+00:00,awake
Unknown,Other,0,False,1526317358,-1.0,21070,0,not locked,0,Monday,1082,330,660,19800,2018-05-14 18:02:38+00:00,awake
