activity,location,distanceHome,showActuation,timestamp,time_to_next_alarm,sound,proximity,phone_lock,light,day_of_week,minutes_day,sleep_time,wakeup_time,time_sleeping,timestamp_text,class
Unknown,University,0,False,1526339979,-1.0,32767,0,not locked,0,Monday,19,675,195,57600,2018-05-15 00:19:39+00:00,asleep
In vehicle,Other,0,False,1526340175,-1.0,12873,0,not locked,0,Monday,22,675,195,57600,2018-05-15 00:22:55+00:00,asleep
Unknown,Other,0,False,1526340235,-1.0,8205,0,not locked,0,Monday,23,675,195,57600,2018-05-15 00:23:55+00:00,asleep
In vehicle,Other,0,False,1526340295,-1.0,25525,0,not locked,0,Monday,24,675,195,57600,2018-05-15 00:24:55+00:00,asleep
In vehicle,Other,0,False,1526340325,-1.0,25525,0,not locked,0,Monday,25,675,195,57600,2018-05-15 00:25:25+00:00,asleep
Unknown,Other,0,False,1526340415,-1.0,14381,0,not locked,0,Monday,26,675,195,57600,2018-05-15 00:26:55+00:00,asleep
In vehicle,Other,0,False,1526340475,-1.0,30471,0,not locked,0,Monday,27,675,195,57600,2018-05-15 00:27:55+00:00,asleep
In vehicle,Other,0,False,1526340608,-1.0,0,0,locked,0,Monday,30,675,195,57600,2018-05-15 00:30:08+00:00,asleep
In vehicle,Other,0,False,1526340883,-1.0,0,0,locked,0,Monday,34,675,195,57600,2018-05-15 00:34:43+00:00,asleep
Still,Other,0,False,1526340952,-1.0,0,1,not locked,0,Monday,35,675,195,57600,2018-05-15 00:35:52+00:00,asleep
In vehicle,Other,0,False,1526341012,-1.0,0,1,not locked,0,Monday,36,675,195,57600,2018-05-15 00:36:52+00:00,asleep
In vehicle,Other,0,False,1526341073,-1.0,0,1,not locked,0,Monday,37,675,195,57600,2018-05-15 00:37:53+00:00,asleep
In vehicle,Other,0,False,1526341103,-1.0,0,1,not locked,0,Monday,38,675,195,57600,2018-05-15 00:38:23+00:00,asleep
In vehicle,Other,0,False,1526341181,-1.0,0,0,locked,0,Monday,39,675,195,57600,2018-05-15 00:39:41+00:00,asleep
Still,Other,0,False,1526342123,-1.0,0,0,locked,0,Monday,55,675,195,57600,2018-05-15 00:55:23+00:00,asleep
Still,Other,0,False,1526342775,-1.0,0,0,locked,0,Monday,66,675,195,57600,2018-05-15 01:06:15+00:00,asleep
Exercise,Other,0,False,1526343470,-1.0,0,1,locked,0,Monday,77,675,195,57600,2018-05-15 01:17:50+00:00,asleep
Exercise,House,0,False,1526343720,-1.0,0,1,locked,0,Monday,82,675,195,57600,2018-05-15 01:22:00+00:00,asleep
Still,House,0,False,1526344017,-1.0,0,0,locked,0,Monday,86,675,195,57600,2018-05-15 01:26:57+00:00,asleep
Still,House,0,False,1526344302,-1.0,0,0,not locked,0,Monday,91,675,195,57600,2018-05-15 01:31:42+00:00,asleep
Still,House,0,False,1526344332,-1.0,0,0,not locked,0,Monday,92,675,195,57600,2018-05-15 01:32:12+00:00,asleep
Unknown,Other,0,False,1526344407,-1.0,0,0,not locked,0,Monday,93,675,195,57600,2018-05-15 01:33:27+00:00,asleep
Still,House,0,False,1526344467,-1.0,0,0,not locked,0,Monday,94,675,195,57600,2018-05-15 01:34:27+00:00,asleep
Still,House,0,False,1526344497,-1.0,0,0,not locked,0,Monday,94,675,195,57600,2018-05-15 01:34:57+00:00,asleep
Still,House,0,False,1526344527,-1.0,0,0,not locked,0,Monday,95,675,195,57600,2018-05-15 01:35:27+00:00,asleep
Still,House,0,False,1526344587,-1.0,0,0,not locked,0,Monday,96,675,195,57600,2018-05-15 01:36:27+00:00,asleep
Still,House,0,False,1526344678,-1.0,0,0,not locked,0,Monday,97,675,195,57600,2018-05-15 01:37:58+00:00,asleep
Still,House,0,False,1526344768,-1.0,0,0,not locked,0,Monday,99,675,195,57600,2018-05-15 01:39:28+00:00,asleep
Still,House,0,False,1526344828,-1.0,0,0,not locked,0,Monday,100,675,195,57600,2018-05-15 01:40:28+00:00,asleep
Still,House,0,False,1526344918,-1.0,0,0,not locked,0,Monday,101,675,195,57600,2018-05-15 01:41:58+00:00,asleep
Still,House,0,False,1526345008,-1.0,0,0,not locked,0,Monday,103,675,195,57600,2018-05-15 01:43:28+00:00,asleep
Still,House,0,False,1526345069,-1.0,0,0,not locked,0,Monday,104,675,195,57600,2018-05-15 01:44:29+00:00,asleep
Still,House,0,False,1526345099,-1.0,0,0,not locked,0,Monday,104,675,195,57600,2018-05-15 01:44:59+00:00,asleep
