NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,val_accuracy,val_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM_BI,128,50,32,60,30,2023-10-13 18:40:31.571783,2023-10-13 18:40:34.883787,3.3120038509368896,0.055200064182281496,0.5072309970855713,0.777172327041626,0.5436221361160278,0.7506117820739746,asleep,0.7506117908787542,0.6321525885558583,0.35285171102661594,0.4529038555392874,0.30782840545149726,0.7115555874405145,0.0,2910.0,270.0,851.0,464.0
LSTM_BI,128,50,32,60,30,2023-10-13 18:40:31.571783,2023-10-13 18:40:34.883787,3.3120038509368896,0.055200064182281496,0.5072309970855713,0.777172327041626,0.5436221361160278,0.7506117820739746,avg,0.7506117908787542,0.7029414897046773,0.6339730253246287,0.6456998747513466,0.30782840545149726,0.7115556472248128,,,,,
LSTM_BI,128,80,32,60,30,2023-10-13 18:40:34.942891,2023-10-13 18:40:38.221634,3.278743028640747,0.05464571714401245,0.48918208479881287,0.7868188619613647,0.574472963809967,0.7521690726280212,awake,0.7521690767519466,0.7845730027548209,0.8955974842767296,0.8364170337738619,0.33448562296073314,0.7136488748595069,0.0,533.0,782.0,332.0,2848.0
LSTM_BI,128,80,32,60,30,2023-10-13 18:40:34.942891,2023-10-13 18:40:38.221634,3.278743028640747,0.05464571714401245,0.48918208479881287,0.7868188619613647,0.574472963809967,0.7521690726280212,asleep,0.7521690767519466,0.6161849710982659,0.4053231939163498,0.4889908256880734,0.33448562296073314,0.7136487552909103,0.0,2848.0,332.0,782.0,533.0
LSTM_BI,128,80,32,60,30,2023-10-13 18:40:34.942891,2023-10-13 18:40:38.221634,3.278743028640747,0.05464571714401245,0.48918208479881287,0.7868188619613647,0.574472963809967,0.7521690726280212,avg,0.7521690767519466,0.7003789869265433,0.6504603390965397,0.6627039297309676,0.33448562296073314,0.7136488150752086,,,,,
LSTM_BI,128,100,32,60,30,2023-10-13 18:40:38.280367,2023-10-13 18:40:41.630715,3.3503479957580566,0.055839133262634275,0.47355473041534424,0.7938880920410156,0.5665482878684998,0.7448275685310364,awake,0.7448275862068966,0.7773533424283765,0.8959119496855346,0.8324324324324325,0.30877444654857467,0.7125480067914962,0.0,499.0,816.0,331.0,2849.0
LSTM_BI,128,100,32,60,30,2023-10-13 18:40:38.280367,2023-10-13 18:40:41.630715,3.3503479957580566,0.055839133262634275,0.47355473041534424,0.7938880920410156,0.5665482878684998,0.7448275685310364,asleep,0.7448275862068966,0.6012048192771084,0.379467680608365,0.46526806526806525,0.30877444654857467,0.7125480067914963,0.0,2849.0,331.0,816.0,499.0
LSTM_BI,128,100,32,60,30,2023-10-13 18:40:38.280367,2023-10-13 18:40:41.630715,3.3503479957580566,0.055839133262634275,0.47355473041534424,0.7938880920410156,0.5665482878684998,0.7448275685310364,avg,0.7448275862068966,0.6892790808527425,0.6376898151469498,0.6488502488502489,0.30877444654857467,0.7125480067914962,,,,,
LSTM_BI,128,120,32,60,30,2023-10-13 18:40:41.689479,2023-10-13 18:40:45.014772,3.3252928256988525,0.05542154709498088,0.4567800760269165,0.8012518286705017,0.6220690011978149,0.7312569618225098,awake,0.7312569521690767,0.7757270693512305,0.8723270440251573,0.8211959739490823,0.28786102302206207,0.7123930458904273,0.0,513.0,802.0,406.0,2774.0
LSTM_BI,128,120,32,60,30,2023-10-13 18:40:41.689479,2023-10-13 18:40:45.014772,3.3252928256988525,0.05542154709498088,0.4567800760269165,0.8012518286705017,0.6220690011978149,0.7312569618225098,asleep,0.7312569521690767,0.558215451577802,0.39011406844106467,0.45926589077887203,0.28786102302206207,0.7123930458904273,0.0,2774.0,406.0,802.0,513.0
LSTM_BI,128,120,32,60,30,2023-10-13 18:40:41.689479,2023-10-13 18:40:45.014772,3.3252928256988525,0.05542154709498088,0.4567800760269165,0.8012518286705017,0.6220690011978149,0.7312569618225098,avg,0.7312569521690767,0.6669712604645162,0.631220556233111,0.6402309323639772,0.28786102302206207,0.7123930458904273,,,,,
LSTM_BI,128,150,32,60,30,2023-10-13 18:40:45.072227,2023-10-13 18:40:48.384288,3.312061071395874,0.0552010178565979,0.42785632610321045,0.8110456466674805,0.6419448852539062,0.7261401414871216,awake,0.7261401557285874,0.773505472916082,0.8666666666666667,0.8174403084680409,0.27660229530121494,0.7059787885309803,0.0,508.0,807.0,424.0,2756.0
LSTM_BI,128,150,32,60,30,2023-10-13 18:40:45.072227,2023-10-13 18:40:48.384288,3.312061071395874,0.0552010178565979,0.42785632610321045,0.8110456466674805,0.6419448852539062,0.7261401414871216,asleep,0.7261401557285874,0.5450643776824035,0.38631178707224334,0.45215843346684464,0.27660229530121494,0.7059789080995768,0.0,2756.0,424.0,807.0,508.0
LSTM_BI,128,150,32,60,30,2023-10-13 18:40:45.072227,2023-10-13 18:40:48.384288,3.312061071395874,0.0552010178565979,0.42785632610321045,0.8110456466674805,0.6419448852539062,0.7261401414871216,avg,0.7261401557285874,0.6592849252992428,0.6264892268694551,0.6347993709674428,0.27660229530121494,0.7059788483152785,,,,,
LSTM_BI,128,200,32,60,30,2023-10-13 18:40:48.446955,2023-10-13 18:40:51.716821,3.2698659896850586,0.05449776649475098,0.394612580537796,0.8280559778213501,0.7619738578796387,0.7116796374320984,awake,0.7116796440489432,0.7656514382402707,0.8537735849056604,0.8073148974130241,0.24154874290602157,0.6927462515244995,0.0,484.0,831.0,465.0,2715.0
LSTM_BI,128,200,32,60,30,2023-10-13 18:40:48.446955,2023-10-13 18:40:51.716821,3.2698659896850586,0.05449776649475098,0.394612580537796,0.8280559778213501,0.7619738578796387,0.7116796374320984,asleep,0.7116796440489432,0.5100105374077977,0.36806083650190113,0.4275618374558304,0.24154874290602157,0.6927462515244996,0.0,2715.0,465.0,831.0,484.0
LSTM_BI,128,200,32,60,30,2023-10-13 18:40:48.446955,2023-10-13 18:40:51.716821,3.2698659896850586,0.05449776649475098,0.394612580537796,0.8280559778213501,0.7619738578796387,0.7116796374320984,avg,0.7116796440489432,0.6378309878240342,0.6109172107037808,0.6174383674344273,0.24154874290602157,0.6927462515244995,,,,,
