NN_type,units,epochs,batch_size,max_iterations,Users,window_size,time_step,round_iteration,start_time,end_time,round_time_s,round_time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
MPL,16-8,3,32,200,19,-1,-1,16,2023-10-06 11:26:14.225780,2023-10-06 11:26:24.264241,10.038460969924927,0.1673076828320821,awake,0.6979790641124488,0.7099443693139906,0.968653352204225,0.8193624766659718,0.017588477202245878,0.5065275216075171,0.0,1754.0,37749.0,2990.0,92395.0
MPL,16-8,3,32,200,19,-1,-1,16,2023-10-06 11:26:14.225780,2023-10-06 11:26:24.264241,10.038460969924927,0.1673076828320821,asleep,0.6979790641124488,0.3697301854974705,0.044401691010809305,0.07928221122335977,0.017588477202245878,0.5065275216075172,0.0,92395.0,2990.0,37749.0,1754.0
MPL,16-8,3,32,200,19,-1,-1,16,2023-10-06 11:26:14.225780,2023-10-06 11:26:24.264241,10.038460969924927,0.1673076828320821,avg,0.6979790641124488,0.5398372774057305,0.5065275216075171,0.4493223439446658,0.017588477202245878,0.5065275216075171,,,,,
MPL,16-8,3,32,200,19,-1,-1,17,2023-10-06 11:26:25.089395,2023-10-06 11:26:34.702382,9.612987041473389,0.16021645069122314,awake,0.7062377676294407,0.7202803280501873,0.9557372752529224,0.8214696036512564,0.07743010155754648,0.529763430427008,0.0,4100.0,35403.0,4222.0,91163.0
MPL,16-8,3,32,200,19,-1,-1,17,2023-10-06 11:26:25.089395,2023-10-06 11:26:34.702382,9.612987041473389,0.16021645069122314,asleep,0.7062377676294407,0.49267003124248976,0.10378958560109358,0.17145844223732357,0.07743010155754648,0.5297634304270079,0.0,91163.0,4222.0,35403.0,4100.0
MPL,16-8,3,32,200,19,-1,-1,17,2023-10-06 11:26:25.089395,2023-10-06 11:26:34.702382,9.612987041473389,0.16021645069122314,avg,0.7062377676294407,0.6064751796463386,0.529763430427008,0.49646402294429,0.07743010155754648,0.529763430427008,,,,,
MPL,16-8,3,32,200,19,-1,-1,18,2023-10-06 11:26:35.525731,2023-10-06 11:26:50.022098,14.49636697769165,0.24160611629486084,awake,0.703087005515687,0.7176503905789063,0.9564082402893537,0.8200032358968827,0.06253458090261887,0.5239095096087681,0.0,3611.0,35892.0,4158.0,91227.0
MPL,16-8,3,32,200,19,-1,-1,18,2023-10-06 11:26:35.525731,2023-10-06 11:26:50.022098,14.49636697769165,0.24160611629486084,asleep,0.703087005515687,0.46479598403912986,0.09141077892818267,0.15277542731426638,0.06253458090261887,0.5239095096087681,0.0,91227.0,4158.0,35892.0,3611.0
MPL,16-8,3,32,200,19,-1,-1,18,2023-10-06 11:26:35.525731,2023-10-06 11:26:50.022098,14.49636697769165,0.24160611629486084,avg,0.703087005515687,0.5912231873090181,0.5239095096087681,0.48638933160557457,0.06253458090261887,0.5239095096087681,,,,,
MPL,16-8,3,32,200,19,-1,-1,19,2023-10-06 11:26:50.850055,2023-10-06 11:27:00.390625,9.54057002067566,0.15900950034459432,awake,0.6996471146432596,0.7229277884763832,0.9327462389264559,0.8145421919488772,0.0875107636688841,0.5347729878276559,0.0,5404.0,34099.0,6415.0,88970.0
MPL,16-8,3,32,200,19,-1,-1,19,2023-10-06 11:26:50.850055,2023-10-06 11:27:00.390625,9.54057002067566,0.15900950034459432,asleep,0.6996471146432596,0.45722988408494797,0.13679973672885604,0.2105919488718288,0.0875107636688841,0.534772987827656,0.0,88970.0,6415.0,34099.0,5404.0
MPL,16-8,3,32,200,19,-1,-1,19,2023-10-06 11:26:50.850055,2023-10-06 11:27:00.390625,9.54057002067566,0.15900950034459432,avg,0.6996471146432596,0.5900788362806656,0.5347729878276559,0.512567070410353,0.0875107636688841,0.5347729878276559,,,,,
MPL,16-8,3,32,200,19,-1,-1,20,2023-10-06 11:27:01.228956,2023-10-06 11:27:10.849951,9.620995044708252,0.1603499174118042,awake,0.6890753810568768,0.7190566362540884,0.9196100015725743,0.8070606420271054,0.0648173664129007,0.5260151620398628,0.0,5231.0,34272.0,7668.0,87717.0
MPL,16-8,3,32,200,19,-1,-1,20,2023-10-06 11:27:01.228956,2023-10-06 11:27:10.849951,9.620995044708252,0.1603499174118042,asleep,0.6890753810568768,0.40553531281494687,0.13242032250715136,0.1996488683638029,0.0648173664129007,0.5260151620398629,0.0,87717.0,7668.0,34272.0,5231.0
MPL,16-8,3,32,200,19,-1,-1,20,2023-10-06 11:27:01.228956,2023-10-06 11:27:10.849951,9.620995044708252,0.1603499174118042,avg,0.6890753810568768,0.5622959745345176,0.5260151620398629,0.5033547551954541,0.0648173664129007,0.5260151620398628,,,,,
MPL,16-8,3,32,200,19,-1,-1,21,2023-10-06 11:27:11.685230,2023-10-06 11:27:21.504348,9.819118022918701,0.16365196704864501,awake,0.6954881086531048,0.7117712200143494,0.9568485610945117,0.8163121106554627,0.02808978793970074,0.5106243666166682,0.0,2544.0,36959.0,4116.0,91269.0
MPL,16-8,3,32,200,19,-1,-1,21,2023-10-06 11:27:11.685230,2023-10-06 11:27:21.504348,9.819118022918701,0.16365196704864501,asleep,0.6954881086531048,0.38198198198198197,0.0644001721388249,0.11021814006888633,0.02808978793970074,0.5106243666166683,0.0,91269.0,4116.0,36959.0,2544.0
MPL,16-8,3,32,200,19,-1,-1,21,2023-10-06 11:27:11.685230,2023-10-06 11:27:21.504348,9.819118022918701,0.16365196704864501,avg,0.6954881086531048,0.5468766009981657,0.5106243666166683,0.4632651253621745,0.02808978793970074,0.5106243666166683,,,,,
MPL,16-8,3,32,200,19,-1,-1,22,2023-10-06 11:27:22.323397,2023-10-06 11:27:32.037060,9.713663101196289,0.16189438501993816,awake,0.6910622145780203,0.7092100240708571,0.9544687319809194,0.8137614186882139,0.012579510454541754,0.5047512634412863,0.0,2174.0,37329.0,4343.0,91042.0
MPL,16-8,3,32,200,19,-1,-1,22,2023-10-06 11:27:22.323397,2023-10-06 11:27:32.037060,9.713663101196289,0.16189438501993816,asleep,0.6910622145780203,0.33358907472763544,0.05503379490165304,0.09448066058235549,0.012579510454541754,0.5047512634412862,0.0,91042.0,4343.0,37329.0,2174.0
MPL,16-8,3,32,200,19,-1,-1,22,2023-10-06 11:27:22.323397,2023-10-06 11:27:32.037060,9.713663101196289,0.16189438501993816,avg,0.6910622145780203,0.5213995493992463,0.5047512634412862,0.4541210396352847,0.012579510454541754,0.5047512634412863,,,,,
MPL,16-8,3,32,200,19,-1,-1,23,2023-10-06 11:27:32.876975,2023-10-06 11:27:44.543301,11.66632604598999,0.19443876743316652,awake,0.696340667813297,0.7110526846444387,0.9611678985165383,0.8174053369709614,0.02402775805332047,0.5090248271662762,0.0,2247.0,37256.0,3704.0,91681.0
MPL,16-8,3,32,200,19,-1,-1,23,2023-10-06 11:27:32.876975,2023-10-06 11:27:44.543301,11.66632604598999,0.19443876743316652,asleep,0.696340667813297,0.37758359939505964,0.05688175581601397,0.09886918643023716,0.02402775805332047,0.5090248271662762,0.0,91681.0,3704.0,37256.0,2247.0
MPL,16-8,3,32,200,19,-1,-1,23,2023-10-06 11:27:32.876975,2023-10-06 11:27:44.543301,11.66632604598999,0.19443876743316652,avg,0.696340667813297,0.5443181420197492,0.5090248271662762,0.45813726170059926,0.02402775805332047,0.5090248271662762,,,,,
MPL,16-8,3,32,200,19,-1,-1,24,2023-10-06 11:27:45.374601,2023-10-06 11:27:55.033047,9.658446073532104,0.16097410122553507,awake,0.6957327560642904,0.7090195776760645,0.9662840069193269,0.8178986600408199,0.011752773400308447,0.5043682394417408,0.0,1677.0,37826.0,3216.0,92169.0
MPL,16-8,3,32,200,19,-1,-1,24,2023-10-06 11:27:45.374601,2023-10-06 11:27:55.033047,9.658446073532104,0.16097410122553507,asleep,0.6957327560642904,0.34273451870018395,0.04245247196415462,0.0755473466078025,0.011752773400308447,0.5043682394417408,0.0,92169.0,3216.0,37826.0,1677.0
MPL,16-8,3,32,200,19,-1,-1,24,2023-10-06 11:27:45.374601,2023-10-06 11:27:55.033047,9.658446073532104,0.16097410122553507,avg,0.6957327560642904,0.5258770481881242,0.5043682394417408,0.4467230033243112,0.011752773400308447,0.5043682394417408,,,,,
MPL,16-8,3,32,200,19,-1,-1,25,2023-10-06 11:27:55.869107,2023-10-06 11:28:05.433568,9.56446099281311,0.15940768321355184,awake,0.7049774627839392,0.7124252938569005,0.9772815432195838,0.8240957251658703,0.03357504592862115,0.5123731463661395,0.0,1875.0,37628.0,2167.0,93218.0
MPL,16-8,3,32,200,19,-1,-1,25,2023-10-06 11:27:55.869107,2023-10-06 11:28:05.433568,9.56446099281311,0.15940768321355184,asleep,0.7049774627839392,0.46387926768926274,0.04746474951269524,0.08611780916293489,0.03357504592862115,0.5123731463661395,0.0,93218.0,2167.0,37628.0,1875.0
MPL,16-8,3,32,200,19,-1,-1,25,2023-10-06 11:27:55.869107,2023-10-06 11:28:05.433568,9.56446099281311,0.15940768321355184,avg,0.7049774627839392,0.5881522807730816,0.5123731463661395,0.45510676716440257,0.03357504592862115,0.5123731463661395,,,,,
MPL,16-8,3,32,200,19,-1,-1,26,2023-10-06 11:28:06.253613,2023-10-06 11:28:15.658045,9.40443205833435,0.1567405343055725,awake,0.7073794555483067,0.7130544124371285,0.9809403994338732,0.8258158469583636,0.037822944295874406,0.5138861428098662,0.0,1850.0,37653.0,1818.0,93567.0
MPL,16-8,3,32,200,19,-1,-1,26,2023-10-06 11:28:06.253613,2023-10-06 11:28:15.658045,9.40443205833435,0.1567405343055725,asleep,0.7073794555483067,0.5043620501635769,0.0468318861858593,0.08570568205508328,0.037822944295874406,0.5138861428098662,0.0,93567.0,1818.0,37653.0,1850.0
MPL,16-8,3,32,200,19,-1,-1,26,2023-10-06 11:28:06.253613,2023-10-06 11:28:15.658045,9.40443205833435,0.1567405343055725,avg,0.7073794555483067,0.6087082313003527,0.5138861428098662,0.4557607645067234,0.037822944295874406,0.5138861428098662,,,,,
MPL,16-8,3,32,200,19,-1,-1,27,2023-10-06 11:28:16.469117,2023-10-06 11:28:28.388438,11.919321060180664,0.19865535100301107,awake,0.711916552992112,0.7152354697209699,0.9846307071342454,0.8285861744972364,0.051860633803543,0.5190221859595991,0.0,2110.0,37393.0,1466.0,93919.0
MPL,16-8,3,32,200,19,-1,-1,27,2023-10-06 11:28:16.469117,2023-10-06 11:28:28.388438,11.919321060180664,0.19865535100301107,asleep,0.711916552992112,0.5900447427293065,0.05341366478495304,0.097959562663943,0.051860633803543,0.5190221859595991,0.0,93919.0,1466.0,37393.0,2110.0
MPL,16-8,3,32,200,19,-1,-1,27,2023-10-06 11:28:16.469117,2023-10-06 11:28:28.388438,11.919321060180664,0.19865535100301107,avg,0.711916552992112,0.6526401062251381,0.5190221859595993,0.4632728685805897,0.051860633803543,0.5190221859595991,,,,,
MPL,16-8,3,32,200,19,-1,-1,28,2023-10-06 11:28:29.233782,2023-10-06 11:28:38.928581,9.694798946380615,0.16157998243967692,awake,0.7172765553644505,0.7186294652745423,0.9864024741835719,0.8314892714482661,0.07310864506872183,0.5269201951456046,0.0,2664.0,36839.0,1297.0,94088.0
MPL,16-8,3,32,200,19,-1,-1,28,2023-10-06 11:28:29.233782,2023-10-06 11:28:38.928581,9.694798946380615,0.16157998243967692,asleep,0.7172765553644505,0.6725574349911638,0.0674379161076374,0.1225842076200994,0.07310864506872183,0.5269201951456047,0.0,94088.0,1297.0,36839.0,2664.0
MPL,16-8,3,32,200,19,-1,-1,28,2023-10-06 11:28:29.233782,2023-10-06 11:28:38.928581,9.694798946380615,0.16157998243967692,avg,0.7172765553644505,0.6955934501328531,0.5269201951456046,0.47703673953418274,0.07310864506872183,0.5269201951456046,,,,,
MPL,16-8,3,32,200,19,-1,-1,29,2023-10-06 11:28:39.762544,2023-10-06 11:28:49.421059,9.658514976501465,0.16097524960835774,awake,0.7163795148567701,0.718680140866636,0.9841589348430047,0.8307249839605318,0.07303321655773665,0.5269755512632359,0.0,2757.0,36746.0,1511.0,93874.0
MPL,16-8,3,32,200,19,-1,-1,29,2023-10-06 11:28:39.762544,2023-10-06 11:28:49.421059,9.658514976501465,0.16097524960835774,asleep,0.7163795148567701,0.6459700093720713,0.06979216768346708,0.12597381828151058,0.07303321655773665,0.5269755512632359,0.0,93874.0,1511.0,36746.0,2757.0
MPL,16-8,3,32,200,19,-1,-1,29,2023-10-06 11:28:39.762544,2023-10-06 11:28:49.421059,9.658514976501465,0.16097524960835774,avg,0.7163795148567701,0.6823250751193537,0.5269755512632359,0.4783494011210212,0.07303321655773665,0.5269755512632359,,,,,
MPL,16-8,3,32,200,19,-1,-1,30,2023-10-06 11:28:50.237256,2023-10-06 11:29:01.944521,11.70726490020752,0.19512108167012532,awake,0.7203605954569717,0.7219643255810373,0.9831839387744404,0.8325654069122255,0.09263000730119297,0.5344621311470865,0.0,3387.0,36116.0,1604.0,93781.0
MPL,16-8,3,32,200,19,-1,-1,30,2023-10-06 11:28:50.237256,2023-10-06 11:29:01.944521,11.70726490020752,0.19512108167012532,asleep,0.7203605954569717,0.6786215187337207,0.08574032351973268,0.15224524655009664,0.09263000730119297,0.5344621311470866,0.0,93781.0,1604.0,36116.0,3387.0
MPL,16-8,3,32,200,19,-1,-1,30,2023-10-06 11:28:50.237256,2023-10-06 11:29:01.944521,11.70726490020752,0.19512108167012532,avg,0.7203605954569717,0.700292922157379,0.5344621311470865,0.49240532673116105,0.09263000730119297,0.5344621311470865,,,,,
MPL,16-8,3,32,200,19,-1,-1,31,2023-10-06 11:29:02.762329,2023-10-06 11:29:12.374799,9.612469911575317,0.16020783185958862,awake,0.7179437755767748,0.7172935977989828,0.9921790637940976,0.8326353574633563,0.0657763762717386,0.5239734900774401,0.0,2203.0,37300.0,746.0,94639.0
MPL,16-8,3,32,200,19,-1,-1,31,2023-10-06 11:29:02.762329,2023-10-06 11:29:12.374799,9.612469911575317,0.16020783185958862,asleep,0.7179437755767748,0.7470328925059342,0.055767916360782724,0.10378780740601148,0.0657763762717386,0.5239734900774401,0.0,94639.0,746.0,37300.0,2203.0
MPL,16-8,3,32,200,19,-1,-1,31,2023-10-06 11:29:02.762329,2023-10-06 11:29:12.374799,9.612469911575317,0.16020783185958862,avg,0.7179437755767748,0.7321632451524585,0.5239734900774402,0.46821158243468386,0.0657763762717386,0.5239734900774401,,,,,
MPL,16-8,3,32,200,19,-1,-1,32,2023-10-06 11:29:13.196380,2023-10-06 11:29:25.171759,11.97537899017334,0.19958964983622232,awake,0.7198045786133681,0.7222659627022354,0.9809823347486502,0.8319751752712982,0.09394105862261681,0.5350700601166485,0.0,3522.0,35981.0,1814.0,93571.0
MPL,16-8,3,32,200,19,-1,-1,32,2023-10-06 11:29:13.196380,2023-10-06 11:29:25.171759,11.97537899017334,0.19958964983622232,asleep,0.7198045786133681,0.6600449775112444,0.08915778548464673,0.1570953857133299,0.09394105862261681,0.5350700601166485,0.0,93571.0,1814.0,35981.0,3522.0
