client,round,loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
-1,83,0.5187150239944458,awake,0.8308893304074492,0.8830381531412459,0.9131048809599738,0.8978198644526368,0.4084039194486305,0.692498332662203,[[ 11861 13274][ 9537 100216]],11861.0,13274.0,9537.0,100216.0
-1,83,0.5187150239944458,asleep,0.8308893304074492,0.5543041405738854,0.4718917843644321,0.5097887520684246,0.4084039194486305,0.692498332662203,[[ 100216 9537][ 13274 11861]],100216.0,9537.0,13274.0,11861.0
-1,83,0.5187150239944458,avg,0.8308893304074492,0.7186711468575657,0.692498332662203,0.7038043082605308,0.4084039194486305,0.692498332662203,,,,,
-1,84,0.5161754488945007,awake,0.8331652926872665,0.8898072609973819,0.9073191621185752,0.8984778901590681,0.4309654597359029,0.7083442836652156,[[ 12803 12332][ 10172 99581]],12803.0,12332.0,10172.0,99581.0
-1,84,0.5161754488945007,asleep,0.8331652926872665,0.5572578890097932,0.509369405211856,0.5322386198295573,0.4309654597359029,0.7083442836652157,[[ 99581 10172][ 12332 12803]],99581.0,10172.0,12332.0,12803.0
-1,84,0.5161754488945007,avg,0.8331652926872665,0.7235325750035876,0.7083442836652156,0.7153582549943127,0.4309654597359029,0.7083442836652156,,,,,
-1,85,0.5163523554801941,awake,0.8335507976988317,0.8880837860184749,0.91012546354086,0.8989695360662376,0.4271554415903815,0.7046549338790433,[[ 12547 12588][ 9864 99889]],12547.0,12588.0,9864.0,99889.0
-1,85,0.5163523554801941,asleep,0.8335507976988317,0.5598589978135737,0.499184404217227,0.5277836200731923,0.4271554415903815,0.7046549338790434,[[ 99889 9864][ 12588 12547]],99889.0,9864.0,12588.0,12547.0
-1,85,0.5163523554801941,avg,0.8335507976988317,0.7239713919160243,0.7046549338790434,0.713376578069715,0.4271554415903815,0.7046549338790433,,,,,
-1,86,0.5185340046882629,awake,0.8332913231718166,0.8865295347436306,0.9118201780361356,0.8989970220583281,0.4225004583248619,0.7011060309317341,[[ 12326 12809][ 9678 100075]],12326.0,12809.0,9678.0,100075.0
-1,86,0.5185340046882629,asleep,0.8332913231718166,0.5601708780221778,0.4903918838273324,0.5229640000848554,0.4225004583248619,0.7011060309317341,[[ 100075 9678][ 12809 12326]],100075.0,9678.0,12809.0,12326.0
