NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,val_accuracy,val_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM_BI,128,100,32,2,1,2023-10-15 04:09:13.011792,2023-10-15 04:09:22.773817,9.762025117874146,0.16270041863123577,0.31538739800453186,0.8688967823982239,0.5595002174377441,0.8203594088554382,asleep,0.8203594146167875,0.540085136573253,0.24229162522379152,0.33451429513059244,0.24768547116793138,0.789495535961735,0.0,104565.0,5186.0,19045.0,6090.0
LSTM_BI,128,100,32,2,1,2023-10-15 04:09:13.011792,2023-10-15 04:09:22.773817,9.762025117874146,0.16270041863123577,0.31538739800453186,0.8688967823982239,0.5595002174377441,0.8203594088554382,avg,0.8203594146167875,0.6930059207661994,0.5975196041946603,0.6153397320588491,0.24768547116793138,0.7894956099125205,,,,,
LSTM_BI,128,120,32,2,1,2023-10-15 04:09:23.634968,2023-10-15 04:09:33.392191,9.757222890853882,0.16262038151423136,0.31435421109199524,0.8685458302497864,0.5682166218757629,0.8089126944541931,awake,0.8089127114748751,0.8333915611948357,0.9563375276762854,0.8906416397601965,0.1616715142921603,0.7663235874638245,0.0,4152.0,20983.0,4792.0,104959.0
LSTM_BI,128,120,32,2,1,2023-10-15 04:09:23.634968,2023-10-15 04:09:33.392191,9.757222890853882,0.16262038151423136,0.31435421109199524,0.8685458302497864,0.5682166218757629,0.8089126944541931,asleep,0.8089127114748751,0.46422182468694095,0.16518798488163916,0.24366912174653016,0.1616715142921603,0.7663234250620993,0.0,104959.0,4792.0,20983.0,4152.0
LSTM_BI,128,120,32,2,1,2023-10-15 04:09:23.634968,2023-10-15 04:09:33.392191,9.757222890853882,0.16262038151423136,0.31435421109199524,0.8685458302497864,0.5682166218757629,0.8089126944541931,avg,0.8089127114748751,0.6488066929408883,0.5607627562789623,0.5671553807533634,0.1616715142921603,0.7663235062629619,,,,,
LSTM_BI,128,150,32,2,1,2023-10-15 04:09:34.270777,2023-10-15 04:09:44.573209,10.3024320602417,0.1717072010040283,0.3193669021129608,0.8665799498558044,0.5719764232635498,0.8222202658653259,awake,0.8222202452441321,0.845719767507477,0.9558819509617225,0.8974328266281149,0.24908718673242491,0.76197870222088,0.0,5997.0,19138.0,4842.0,104909.0
LSTM_BI,128,150,32,2,1,2023-10-15 04:09:34.270777,2023-10-15 04:09:44.573209,10.3024320602417,0.1717072010040283,0.3193669021129608,0.8665799498558044,0.5719764232635498,0.8222202658653259,asleep,0.8222202452441321,0.5532798228618876,0.23859160533121146,0.33340746094401513,0.24908718673242491,0.7619783587484814,0.0,104909.0,4842.0,19138.0,5997.0
LSTM_BI,128,150,32,2,1,2023-10-15 04:09:34.270777,2023-10-15 04:09:44.573209,10.3024320602417,0.1717072010040283,0.3193669021129608,0.8665799498558044,0.5719764232635498,0.8222202658653259,avg,0.8222202452441321,0.6994997951846823,0.5972367781464669,0.615420143786065,0.24908718673242491,0.7619785304846807,,,,,
LSTM_BI,128,200,32,2,1,2023-10-15 04:09:45.443620,2023-10-15 04:09:55.768576,10.324955940246582,0.1720825990041097,0.291505366563797,0.8768855333328247,0.5971935987472534,0.818809986114502,awake,0.81880995803864,0.8501489890905509,0.9436451604085612,0.8944604701777418,0.2667457993341953,0.761772063425769,0.0,6880.0,18255.0,6185.0,103566.0
LSTM_BI,128,200,32,2,1,2023-10-15 04:09:45.443620,2023-10-15 04:09:55.768576,10.324955940246582,0.1720825990041097,0.291505366563797,0.8768855333328247,0.5971935987472534,0.818809986114502,asleep,0.81880995803864,0.5265977803291236,0.27372190173065447,0.36020942408376966,0.2667457993341953,0.761771793541652,0.0,103566.0,6185.0,18255.0,6880.0
LSTM_BI,128,200,32,2,1,2023-10-15 04:09:45.443620,2023-10-15 04:09:55.768576,10.324955940246582,0.1720825990041097,0.291505366563797,0.8768855333328247,0.5971935987472534,0.818809986114502,avg,0.81880995803864,0.6883733847098372,0.6086835310696078,0.6273349471307557,0.2667457993341953,0.7617719284837106,,,,,
