NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,100,32,4,1,2023-09-25 02:02:49.693900,2023-09-25 04:08:34.174443,7544.480542898178,125.7413423816363,asleep,0.8230701936478753,0.6677231907025885,0.10057688482196141,0.1748210642785519,0.13249706424570407,0.7917164615108518,0.0,108491.0,1258.0,22607.0,2528.0
LSTM,128,100,32,4,1,2023-09-25 02:02:49.693900,2023-09-25 04:08:34.174443,7544.480542898178,125.7413423816363,avg,0.8230701936478753,0.747639837582297,0.5445571829006435,0.5378666308243333,0.13249706424570407,0.7917164574326092,,,,,
LSTM,128,120,32,4,1,2023-09-25 04:08:35.365302,2023-09-25 06:40:27.486226,9112.120923995972,151.86868206659952,awake,0.8175469292132499,0.8252982126345874,0.9840727478154698,0.897719149502103,0.11018424888846878,0.7662028827509427,0.0,2273.0,22862.0,1748.0,108001.0
LSTM,128,120,32,4,1,2023-09-25 04:08:35.365302,2023-09-25 06:40:27.486226,9112.120923995972,151.86868206659952,asleep,0.8175469292132499,0.5652822680925143,0.09043166898746767,0.15591987927013307,0.11018424888846878,0.7662028898198967,0.0,108001.0,1748.0,22862.0,2273.0
LSTM,128,120,32,4,1,2023-09-25 04:08:35.365302,2023-09-25 06:40:27.486226,9112.120923995972,151.86868206659952,avg,0.8175469292132499,0.6952902403635508,0.5372522084014687,0.5268195143861181,0.11018424888846878,0.7662028862854198,,,,,
LSTM,128,150,32,4,1,2023-09-25 06:40:28.691811,2023-09-25 09:49:14.164965,11325.473153829575,188.75788589715958,awake,0.8136176269980131,0.8238175792043967,0.9806558601900701,0.8954208126726347,0.09553441587060585,0.7803899839644043,0.0,2118.0,23017.0,2123.0,107626.0
LSTM,128,150,32,4,1,2023-09-25 06:40:28.691811,2023-09-25 09:49:14.164965,11325.473153829575,188.75788589715958,asleep,0.8136176269980131,0.49941051638764444,0.08426496916650089,0.14419934640522877,0.09553441587060585,0.7803906966599625,0.0,107626.0,2123.0,23017.0,2118.0
LSTM,128,150,32,4,1,2023-09-25 06:40:28.691811,2023-09-25 09:49:14.164965,11325.473153829575,188.75788589715958,avg,0.8136176269980131,0.6616140477960206,0.5324604146782855,0.5198100795389318,0.09553441587060585,0.7803903403121835,,,,,
LSTM,128,200,32,4,1,2023-09-25 09:49:15.350212,2023-09-25 14:02:58.562604,15223.212391853333,253.72020653088887,awake,0.8155007265502209,0.8229456042743304,0.9852117103572697,0.8967976843135466,0.08934044898599147,0.777786940652505,0.0,1872.0,23263.0,1623.0,108126.0
LSTM,128,200,32,4,1,2023-09-25 09:49:15.350212,2023-09-25 14:02:58.562604,15223.212391853333,253.72020653088887,asleep,0.8155007265502209,0.5356223175965665,0.07447781977322458,0.1307719175689836,0.08934044898599147,0.7777869874163539,0.0,108126.0,1623.0,23263.0,1872.0
LSTM,128,200,32,4,1,2023-09-25 09:49:15.350212,2023-09-25 14:02:58.562604,15223.212391853333,253.72020653088887,avg,0.8155007265502209,0.6792839609354484,0.5298447650652471,0.5137848009412651,0.08934044898599147,0.7777869640344295,,,,,
