NN_type,units,epochs,batch_size,window_size,time_step_shift,start_time,end_time,time_s,time_m,train_accuracy,train_loss,class,accuracy,precision,recall,f1_score,cohen_kappa_score,roc_auc_score,confusion_matrix,TP,FP,FN,TN
LSTM,128,50,32,2,1,2023-10-13 01:18:03.743696,2023-10-13 01:18:13.445820,9.702124118804932,0.16170206864674885,0.343822717666626,0.8563136458396912,asleep,0.8216049108135759,0.5611035111719106,0.1958225581857967,0.2903235320140384,0.21459781945001666,0.7825857866223996,0.0,105901.0,3850.0,20213.0,4922.0
LSTM,128,50,32,2,1,2023-10-13 01:18:03.743696,2023-10-13 01:18:13.445820,9.702124118804932,0.16170206864674885,0.343822717666626,0.8563136458396912,avg,0.8216049108135759,0.7004139437649045,0.5803715755822242,0.5941516542905713,0.21459781945001666,0.7825857935099729,,,,,
LSTM,128,80,32,2,1,2023-10-13 01:18:14.314081,2023-10-13 01:18:24.400331,10.086250066757202,0.1681041677792867,0.3271612226963043,0.8649699091911316,awake,0.8153403614904438,0.8320275505811451,0.9685925412980292,0.8951312753667121,0.1585734802057326,0.7821401856513084,0.0,3674.0,21461.0,3447.0,106304.0
LSTM,128,80,32,2,1,2023-10-13 01:18:14.314081,2023-10-13 01:18:24.400331,10.086250066757202,0.1681041677792867,0.3271612226963043,0.8649699091911316,asleep,0.8153403614904438,0.5159387726442916,0.1461706783369803,0.2278025793650794,0.1585734802057326,0.7821401709699025,0.0,106304.0,3447.0,21461.0,3674.0
LSTM,128,80,32,2,1,2023-10-13 01:18:14.314081,2023-10-13 01:18:24.400331,10.086250066757202,0.1681041677792867,0.3271612226963043,0.8649699091911316,avg,0.8153403614904438,0.6739831616127183,0.5573816098175047,0.5614669273658958,0.1585734802057326,0.7821401783106054,,,,,
LSTM,128,100,32,2,1,2023-10-13 01:18:25.245715,2023-10-13 01:18:35.515490,10.269775152206421,0.17116291920344034,0.3315911591053009,0.8627389669418335,awake,0.8096318372551636,0.8335885980017934,0.9571028965567512,0.8910860012554926,0.16361480816921525,0.7765705709981401,0.0,4165.0,20970.0,4708.0,105043.0
LSTM,128,100,32,2,1,2023-10-13 01:18:25.245715,2023-10-13 01:18:35.515490,10.269775152206421,0.17116291920344034,0.3315911591053009,0.8627389669418335,asleep,0.8096318372551636,0.4694015552800631,0.16570519196339764,0.24494236650199952,0.16361480816921525,0.7765707767190754,0.0,105043.0,4708.0,20970.0,4165.0
LSTM,128,100,32,2,1,2023-10-13 01:18:25.245715,2023-10-13 01:18:35.515490,10.269775152206421,0.17116291920344034,0.3315911591053009,0.8627389669418335,avg,0.8096318372551636,0.6514950766409282,0.5614040442600744,0.568014183878746,0.16361480816921525,0.7765706738586078,,,,,
LSTM,128,120,32,2,1,2023-10-13 01:18:36.378948,2023-10-13 01:18:45.853585,9.474637031555176,0.15791061719258626,0.3107289671897888,0.8729537129402161,awake,0.8200183858962383,0.8410066546446866,0.9603557142987308,0.8967274552593406,0.22019471455375594,0.7829625709499561,0.0,5209.0,19926.0,4351.0,105400.0
LSTM,128,120,32,2,1,2023-10-13 01:18:36.378948,2023-10-13 01:18:45.853585,9.474637031555176,0.15791061719258626,0.3107289671897888,0.8729537129402161,asleep,0.8200183858962383,0.5448744769874477,0.20724089914461905,0.3002738146707018,0.22019471455375594,0.7829631940940757,0.0,105400.0,4351.0,19926.0,5209.0
LSTM,128,120,32,2,1,2023-10-13 01:18:36.378948,2023-10-13 01:18:45.853585,9.474637031555176,0.15791061719258626,0.3107289671897888,0.8729537129402161,avg,0.8200183858962383,0.6929405658160672,0.5837983067216749,0.5985006349650213,0.22019471455375594,0.7829628825220158,,,,,
LSTM,128,150,32,2,1,2023-10-13 01:18:46.704855,2023-10-13 01:18:56.349440,9.644585132598877,0.16074308554331462,0.3111065626144409,0.8728801012039185,awake,0.8218124935130406,0.8486828188814943,0.9504696995927144,0.8966969677433219,0.2637511931788039,0.7720143347725275,0.0,6536.0,18599.0,5436.0,104315.0
LSTM,128,150,32,2,1,2023-10-13 01:18:46.704855,2023-10-13 01:18:56.349440,9.644585132598877,0.16074308554331462,0.3111065626144409,0.8728801012039185,asleep,0.8218124935130406,0.5459405278984296,0.26003580664412174,0.3522785458269329,0.2637511931788039,0.7720198589687105,0.0,104315.0,5436.0,18599.0,6536.0
LSTM,128,150,32,2,1,2023-10-13 01:18:46.704855,2023-10-13 01:18:56.349440,9.644585132598877,0.16074308554331462,0.3111065626144409,0.8728801012039185,avg,0.8218124935130406,0.697311673389962,0.6052527531184181,0.6244877567851274,0.2637511931788039,0.772017096870619,,,,,
LSTM,128,200,32,2,1,2023-10-13 01:18:57.222119,2023-10-13 01:19:06.727542,9.505422830581665,0.15842371384302775,0.3018740713596344,0.8733513355255127,awake,0.8136945272304019,0.8442032817292126,0.9455221364725606,0.8919948081865615,0.23007560266344973,0.7613099919109623,0.0,5984.0,19151.0,5979.0,103772.0
LSTM,128,200,32,2,1,2023-10-13 01:18:57.222119,2023-10-13 01:19:06.727542,9.505422830581665,0.15842371384302775,0.3018740713596344,0.8733513355255127,asleep,0.8136945272304019,0.5002089776811837,0.23807439824945295,0.322604992182867,0.23007560266344973,0.7613056587211811,0.0,103772.0,5979.0,19151.0,5984.0
LSTM,128,200,32,2,1,2023-10-13 01:18:57.222119,2023-10-13 01:19:06.727542,9.505422830581665,0.15842371384302775,0.3018740713596344,0.8733513355255127,avg,0.8136945272304019,0.6722061297051981,0.5917982673610067,0.6072999001847142,0.23007560266344973,0.7613078253160717,,,,,
